Common Name,Scientific Name,Growth Type,Edible,Medicinal Use,Optimal Temperature (°C),Humidity Preference (%),Sunlight Requirement,Climate Suitability,Preferred Soil Type,Soil pH Range,Water Requirement,Irrigation Frequency,Germination Time (Days),Time to Harvest (Days),Companion Planting Suitability,Pruning Requirement,Common Pests,Disease Resistance,Nitrogen Need,Phosphorus Need,Potassium Need,Recommended Organic Fertilizers,Suitable for Region,Suitable for Season
Chili,Capsicum annuum,Shrub,Yes,No,34,67,Partial Shade,Temperate,Loam,5.6,Low,Daily,14,78,Bad,No,None,Viral,Medium,Low,Medium,Compost,Chennai,Winter
Chili,Capsicum annuum,Shrub,Yes,No,34,40,Partial Shade,Tropical,Sandy,6.3,Medium,Daily,14,68,Good,No,Bacterial,Viral,Low,Medium,Medium,Manure,Chennai,Winter
Basil,Ocimum basilicum,Herb,Yes,Yes,33,73,Full Sun,Temperate,Silt,7.5,Medium,Weekly,10,45,Good,Yes,Caterpillars,Bacterial,High,Low,Low,Vermicompost,Delhi,Summer
Chili,Capsicum annuum,Shrub,Yes,No,21,49,Shade,Tropical,Silt,6.9,Low,Daily,16,88,Good,Yes,Aphids,Fungal,High,Low,Medium,Compost,Mumbai,Winter
Radish,Raphanus sativus,Herb,Yes,No,24,48,Shade,Arid,Sandy,5.6,Low,Daily,11,72,Bad,Yes,Bacterial,Bacterial,Low,High,Low,Manure,Bangalore,Winter
Spinach,Spinacia oleracea,Herb,Yes,No,21,71,Shade,Tropical,Loam,6.1,Low,Weekly,16,119,Good,No,Aphids,None,High,High,Medium,Manure,Hyderabad,Summer
Tomato,Solanum lycopersicum,Herb,Yes,No,34,64,Full Sun,Tropical,Silt,6.8,High,Daily,7,76,Bad,Yes,Caterpillars,None,Medium,High,Medium,Compost,Delhi,Summer
Mint,Mentha,Herb,Yes,Yes,17,43,Shade,Tropical,Peaty,5.7,Medium,Daily,7,80,Bad,Yes,None,Viral,High,High,Low,Compost,Delhi,Summer
Spinach,Spinacia oleracea,Herb,Yes,No,29,75,Full Sun,Arid,Clay,7.1,Medium,Weekly,16,31,Good,No,None,Fungal,Low,Medium,High,Vermicompost,Delhi,Summer
Basil,Ocimum basilicum,Herb,Yes,Yes,27,64,Shade,Arid,Silt,6.0,Medium,Weekly,5,99,Bad,Yes,Bacterial,Fungal,Medium,Medium,Medium,Compost,Delhi,Monsoon
Basil,Ocimum basilicum,Herb,Yes,Yes,18,83,Partial Shade,Subtropical,Clay,7.3,High,Daily,19,64,Good,Yes,Caterpillars,Bacterial,Low,High,Low,Manure,Chennai,Winter
Carrot,Daucus carota,Herb,Yes,No,27,51,Shade,Subtropical,Loam,5.7,High,Daily,10,98,Bad,No,Aphids,Bacterial,Low,Low,High,Vermicompost,Chennai,Winter
Lettuce,Lactuca sativa,Herb,Yes,No,17,85,Full Sun,Subtropical,Silt,5.6,Low,Daily,11,100,Bad,No,Aphids,Viral,Medium,Medium,Low,Compost,Delhi,Summer
Basil,Ocimum basilicum,Herb,Yes,Yes,31,76,Full Sun,Tropical,Clay,6.2,Medium,Daily,9,43,Bad,No,Fungal,Viral,Medium,Medium,Low,Manure,Delhi,Monsoon
Chili,Capsicum annuum,Shrub,Yes,No,35,65,Shade,Temperate,Loam,5.8,High,Weekly,17,37,Bad,Yes,Fungal,Fungal,Low,Medium,Low,Manure,Delhi,Winter
Carrot,Daucus carota,Herb,Yes,No,19,66,Partial Shade,Tropical,Sandy,5.9,Low,Weekly,16,67,Good,Yes,Aphids,Viral,High,Medium,Medium,Compost,Chennai,Winter
Basil,Ocimum basilicum,Herb,Yes,Yes,27,83,Partial Shade,Arid,Clay,5.6,Low,Daily,11,101,Good,No,None,Fungal,Low,High,Low,Vermicompost,Chennai,Summer
Spinach,Spinacia oleracea,Herb,Yes,No,22,67,Partial Shade,Arid,Sandy,6.9,Low,Weekly,8,93,Bad,No,Fungal,Viral,Medium,Low,Low,Compost,Chennai,Monsoon
Basil,Ocimum basilicum,Herb,Yes,Yes,16,65,Full Sun,Tropical,Silt,5.9,Medium,Weekly,19,113,Bad,No,Bacterial,Viral,Medium,Medium,Low,Compost,Hyderabad,Winter
Pumpkin,Cucurbita pepo,Vine,Yes,No,21,81,Full Sun,Tropical,Clay,6.7,High,Daily,16,58,Good,Yes,Bacterial,Bacterial,High,Medium,Medium,Compost,Bangalore,Monsoon
Basil,Ocimum basilicum,Herb,Yes,Yes,30,44,Shade,Subtropical,Silt,7.3,Medium,Daily,8,107,Good,No,Bacterial,Fungal,High,High,Low,Compost,Delhi,Summer
Mint,Mentha,Herb,Yes,Yes,35,57,Full Sun,Tropical,Loam,6.3,Low,Daily,19,115,Bad,No,None,Viral,Low,Medium,High,Compost,Delhi,Winter
Radish,Raphanus sativus,Herb,Yes,No,33,55,Full Sun,Tropical,Loam,5.9,Low,Daily,16,102,Bad,Yes,None,Fungal,Low,Low,High,Manure,Mumbai,Monsoon
Mint,Mentha,Herb,Yes,Yes,35,66,Full Sun,Temperate,Silt,5.9,Low,Daily,7,109,Bad,No,Fungal,Fungal,Low,Medium,High,Manure,Delhi,Winter
Coriander,Coriandrum sativum,Herb,Yes,Yes,30,47,Shade,Arid,Silt,7.5,Low,Weekly,8,31,Bad,Yes,Caterpillars,Bacterial,Low,Low,High,Vermicompost,Hyderabad,Monsoon
Mint,Mentha,Herb,Yes,Yes,17,81,Shade,Subtropical,Silt,6.2,High,Daily,20,41,Good,Yes,Bacterial,None,Low,Medium,High,Vermicompost,Hyderabad,Monsoon
Carrot,Daucus carota,Herb,Yes,No,24,81,Full Sun,Subtropical,Sandy,6.5,High,Weekly,18,67,Bad,Yes,Fungal,Fungal,Medium,High,High,Vermicompost,Bangalore,Winter
Basil,Ocimum basilicum,Herb,Yes,Yes,30,83,Shade,Tropical,Clay,6.6,Low,Daily,5,109,Good,No,Caterpillars,Viral,High,Low,High,Manure,Bangalore,Monsoon
Basil,Ocimum basilicum,Herb,Yes,Yes,27,80,Partial Shade,Arid,Peaty,7.4,Low,Daily,13,33,Bad,Yes,None,Fungal,Low,Medium,Medium,Manure,Mumbai,Summer
Lettuce,Lactuca sativa,Herb,Yes,No,19,77,Shade,Subtropical,Sandy,7.4,Medium,Daily,14,44,Bad,Yes,Aphids,Bacterial,Medium,Medium,High,Compost,Hyderabad,Summer
Tomato,Solanum lycopersicum,Herb,Yes,No,17,50,Shade,Subtropical,Sandy,6.0,Low,Daily,13,46,Bad,No,None,Fungal,Medium,High,Medium,Compost,Delhi,Summer
Pumpkin,Cucurbita pepo,Vine,Yes,No,32,87,Partial Shade,Tropical,Sandy,7.5,High,Weekly,18,106,Bad,Yes,Bacterial,Bacterial,Low,Medium,Low,Manure,Bangalore,Winter
Coriander,Coriandrum sativum,Herb,Yes,Yes,32,83,Shade,Temperate,Clay,6.2,High,Daily,18,71,Good,No,Fungal,Bacterial,Medium,Low,Low,Compost,Mumbai,Monsoon
Tomato,Solanum lycopersicum,Herb,Yes,No,22,84,Shade,Arid,Clay,6.5,Low,Weekly,12,66,Bad,No,None,Viral,Low,High,Medium,Manure,Mumbai,Summer
Coriander,Coriandrum sativum,Herb,Yes,Yes,25,48,Full Sun,Temperate,Loam,6.7,Medium,Weekly,9,116,Bad,No,Bacterial,None,Low,High,Medium,Vermicompost,Chennai,Winter
Lettuce,Lactuca sativa,Herb,Yes,No,24,54,Partial Shade,Tropical,Loam,7.0,Medium,Weekly,17,32,Bad,Yes,Fungal,Viral,Low,High,Low,Vermicompost,Hyderabad,Summer
Spinach,Spinacia oleracea,Herb,Yes,No,21,75,Full Sun,Tropical,Peaty,5.8,Low,Weekly,15,61,Bad,No,Bacterial,Viral,High,High,Low,Vermicompost,Hyderabad,Summer
